ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;Place du 87 RI Rue Thiers;28;P>25677;3;0,657;;;13/02/2013;06:48
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;CORA (parking);41;P>25683;3;0,774;;;13/02/2013;07:58
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;CORA (parking);41;P>25684;4;0,55;;;13/02/2013;08:01
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;Rue des Valenciennes;169;P>25687;4;1,004;;;13/02/2013;07:30
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Av R Schuman/Rue G Pompidou;39;P>25689;3;0,783;;;13/02/2013;08:09
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Bd J Bouin (Pompier);42;P>25690;3;0,792;;;13/02/2013;08:58
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Rue du Cdt G Bieler;45;P>25693;3;0,804;;;13/02/2013;08:45
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Av du Gle de Gaulle;46;P>25694;4;0,56;;;13/02/2013;08:53
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Av R Schuman (SIMPLY MARKET);82;P>25706;3;0,435;;;13/02/2013;08:15
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Av de la République (face au n° 29);165;P>25710;3;0,574;;;13/02/2013;08:40
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;SAINT QUENTIN;Lycée Colard Noel Rue Fleyming;77;P>31063;4;1,013;;;13/02/2013;08:25
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Rue de la Fère (parking);136;P>25649;4;0,852;;;14/02/2013;07:05
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Rue de la Fère (NETTO);135;P>25648;4;0,845;;;14/02/2013;07:10
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Bd du Maréchal Juin (bas);55;P>25639;4;0,817;;;14/02/2013;07:24
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Bd du Maréchal Juin (haut);57;P>25640;3;0,832;;;14/02/2013;07:30
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Rue J Blanchot;89;P>25646;4;0,933;;;14/02/2013;07:35
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Rue Raoul Huguet;88;P>25645;3;0,596;;;14/02/2013;07:40
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN;Rue Raoul Huguet face au n° 12 (bas);194;P>33898;3;0,7;;;14/02/2013;07:44
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Rue G Brassens;75;P>25699;3;0,712;;;14/02/2013;08:05
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN  EST;RD 675 vers Omissy vers déchetterie;78;P>25702;4;0,945;;;14/02/2013;08:10
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN;Angle J Blanchot / L lemaire face crèche;195;P>33899;3;0,637;;;19/02/2013;14:15
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN CENTRE;Av Faidherbe;27;P>25725;3;0,647;;;19/02/2013;14:32
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN CENTRE;Bd Gambetta (face CIO);12;P>25719;3;0,66;;;19/02/2013;14:41
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN CENTRE;Place de la Liberté;8;P>25716;3;0,666;;;19/02/2013;14:56
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN CENTRE;Place du GI Floy;1;P>25711;3;0,547;;;19/02/2013;15:08
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN CENTRE;Rue des Cannonniers;142;P>25729;3;0,674;;;19/02/2013;15:18
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN CENTRE;Rue des Suzannes;14;P>25720;3;0,684;;;19/02/2013;15:36
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN CENTRE;Rue du Petit Origny (place du marché);4;P>25714;4;0,874;;;19/02/2013;15:52
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN CENTRE;Rue Michelet;10;P>25718;3;0,883;;;19/02/2013;16:02
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN CENTRE;Square Quentin de la Tour (Basilique);15;P>25721;3;0,557;;;19/02/2013;16:12
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Bvd Roosevelt PORTEUR;17;P>25688;3;0,456;;;19/02/2013;16:26
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;Rue Alfred Clin (hors Heures scolaires);36;P>25682;3;0,912;;;19/02/2013;16:39
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Angle rue collette (LIDL) Richepin FND;85;P>25643;3;0,567;;;19/02/2013;16:46
