ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;Place du 87 RI Rue Thiers;E-1 S / H-2 S;P>25677;3;0,761;;;29/02/2012;08:05
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;Rue Théophile Gautier PORTEUR;;P>25678;4;0,874;;;21/02/2012;10:32
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;Av des anciens Combattants d'AFN;E-3 S / H-4 S;P>25679;4;0,826;;;08/02/2012;08:31
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;Rue Henriette Cabot;E-3 S / H-4 S;P>25681;3;0,491;;;08/02/2012;08:25
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;Rue Alfred Clin (hors Heures scolaires);;P>25682;3;0,492;;;14/02/2012;15:21
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;Rue Alfred Clin (hors Heures scolaires);;P>25682;3;0,752;;;28/02/2012;14:51
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;CORA (parking);E-1 S / H-1 S;P>25683;4;1,216;;;01/02/2012;09:00
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;CORA (parking);E-1 S / H-1 S;P>25683;4;0,685;;;08/02/2012;08:41
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;CORA (parking);E-1 S / H-1 S;P>25683;4;1,156;;;21/02/2012;13:24
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;CORA (parking);E-1 S / H-1 S;P>25683;4;0,7;;;29/02/2012;08:18
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;CORA (parking);E-1 S / H-1 S;P>25684;4;0,757;;;01/02/2012;09:02
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;CORA (parking);E-1 S / H-1 S;P>25684;4;0,544;;;08/02/2012;08:44
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;CORA (parking);E-1 S / H-1 S;P>25684;4;1,18;;;21/02/2012;13:25
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;Rue Fayet (angle R. JY Cousteau);E-3 S / H-3 S;P>25685;3;0,887;;;23/02/2012;10:52
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;Rue des Valenciennes;E-1 S / H-2 S;P>25687;4;1,114;;;01/02/2012;08:26
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;Rue des Valenciennes;E-1 S / H-2 S;P>25687;4;0,926;;;14/02/2012;11:50
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;Rue des Valenciennes;E-1 S / H-2 S;P>25687;4;1,395;;;29/02/2012;07:52
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Bvd Roosevelt PORTEUR;;P>25688;3;0,49;;;06/02/2012;10:07
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Bvd Roosevelt PORTEUR;;P>25688;3;0,497;;;14/02/2012;15:10
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Bvd Roosevelt PORTEUR;;P>25688;3;0,598;;;21/02/2012;09:14
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Bvd Roosevelt PORTEUR;;P>25688;3;0,635;;;28/02/2012;14:46
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Av R Schuman/Rue G Pompidou;E-3 S / H-6 S;P>25689;3;0,906;;;23/02/2012;10:34
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Av A Briand/Rue Q Barre;E-4 S / H-10 S;P>25691;3;0,827;;;22/02/2012;13:00
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Rue du Cdt G Bieler;E-1 S / H-2 S;P>25693;3;0,669;;;01/02/2012;09:25
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Rue du Cdt G Bieler;E-1 S / H-2 S;P>25693;3;0,551;;;14/02/2012;12:33
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Av du Gle de Gaulle;E-1 S / H-1 S;P>25694;4;0,61;;;01/02/2012;09:33
